,name,artist,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
0,Holy - Acoustic,Justin Bieber,205815,0.532,0.706,0.566,0.0,0.161,-6.511,0.0467,79.927
1,You Don't Even Know Me,Faouzia,179396,0.577,0.244,0.663,7.66e-05,0.0795,-4.788,0.0374,165.938
2,This Mountain,Faouzia,142259,0.675,0.215,0.93,0.0,0.0638,-3.131,0.069,129.965
3,Tears of Gold,Faouzia,176117,0.587,0.128,0.664,0.0,0.323,-5.698,0.0523,149.957
4,Out Of Love,Alessia Cara,227693,0.481,0.8,0.267,0.0,0.249,-9.249,0.0339,117.64
5,I'm Not The Only One,Sam Smith,239316,0.688,0.49,0.474,4.48e-06,0.0846,-5.894,0.0344,81.976
6,Can't Help Falling in Love,Haley Reinhart,173174,0.41,0.947,0.0485,0.0,0.108,-13.918,0.038,137.97
7,Before You Go,Lewis Capaldi,215106,0.459,0.604,0.575,0.0,0.0885,-4.858,0.0573,111.881
8,Hold Me While You Wait,Lewis Capaldi,205686,0.688,0.443,0.53,0.0,0.0995,-5.507,0.0333,106.958
9,Grace,Lewis Capaldi,185653,0.722,0.435,0.565,0.0,0.165,-5.848,0.0335,104.488
10,Maybe,Lewis Capaldi,210333,0.673,0.666,0.652,0.0,0.27,-5.552,0.0461,97.009
11,Forever,Lewis Capaldi,210600,0.644,0.866,0.355,0.0,0.115,-7.126,0.0262,84.999
12,One,Lewis Capaldi,180173,0.691,0.82,0.352,0.0,0.145,-7.136,0.0428,118.102
13,Don't Get Me Wrong,Lewis Capaldi,213093,0.447,0.826,0.321,0.0,0.108,-7.853,0.044,67.615
14,Leaving My Love Behind,Lewis Capaldi,210213,0.409,0.65,0.446,0.0,0.0862,-4.836,0.0317,75.638
15,Before You Go - Piano Version,Lewis Capaldi,218768,0.467,0.843,0.359,0.0,0.0913,-6.892,0.0815,173.318
16,Falling Like The Stars,James Arthur,211653,0.552,0.79,0.347,2.15e-06,0.111,-9.542,0.0303,113.809
17,Welcome to Wonderland,Anson Seabra,199131,0.703,0.949,0.179,0.0,0.102,-10.906,0.0366,97.427
18,This City,Sam Fischer,194853,0.605,0.733,0.377,0.0,0.0808,-6.213,0.0443,73.877
19,Too Good At Goodbyes,Sam Smith,201000,0.681,0.64,0.372,0.0,0.169,-8.237,0.0432,91.873
20,Conversations with my Wife - Acoustic,Jon Bellion,234937,0.412,0.89,0.308,0.0,0.0844,-8.148,0.0365,124.256
21,Blu - Acoustic,Jon Bellion,180531,0.424,0.761,0.296,4.49e-06,0.262,-9.154,0.0453,149.954
22,Stupid Deep - Acoustic,Jon Bellion,159594,0.248,0.758,0.265,0.0,0.091,-7.812,0.0345,166.838
23,Run Wild - Acoustic,Jon Bellion,188365,0.801,0.802,0.621,0.0,0.338,-9.694,0.29,99.056
24,Woke The F*ck Up - Acoustic,Jon Bellion,208123,0.522,0.947,0.203,5.73e-06,0.0977,-11.553,0.0456,96.79
25,All Time Low - Acoustic,Jon Bellion,222702,0.449,0.786,0.528,1.33e-06,0.231,-8.956,0.191,98.403
26,Human - Acoustic,Jon Bellion,247838,0.48,0.892,0.127,0.0,0.173,-15.996,0.217,182.389
27,Speechless,Dan + Shay,213386,0.616,0.356,0.438,0.0,0.24,-5.968,0.0298,135.929
28,Lost In The Moment,NF,242680,0.511,0.41,0.629,0.0,0.162,-7.755,0.151,129.924
29,That's Us,Anson Seabra,270461,0.535,0.969,0.115,6.17e-06,0.175,-15.097,0.0526,129.117
30,"Sunflower, Vol. 6",Harry Styles,221826,0.566,0.000564,0.846,0.000795,0.121,-6.904,0.035,160.02
31,Good Job,Alicia Keys,230519,0.41,0.956,0.374,0.000565,0.0895,-5.933,0.0372,179.315
32,Lay Me Down,Sam Smith,219535,0.468,0.919,0.19,0.0,0.107,-11.138,0.0373,125.319
33,How to Save a Life,The Fray,262533,0.64,0.269,0.743,0.0,0.101,-4.08,0.0379,122.035
34,Lose My Mind - Acoustic,Dean Lewis,193628,0.515,0.939,0.201,1.29e-06,0.0889,-10.866,0.0569,74.21
35,Changes,Lauv,160186,0.533,0.456,0.454,0.0,0.237,-8.366,0.161,148.177
36,Falling,Harry Styles,240133,0.567,0.839,0.267,1.46e-06,0.089,-6.502,0.0299,110.011
37,Cherry,Harry Styles,259186,0.53,0.615,0.512,0.00453,0.129,-9.261,0.0259,95.946
38,Canyon Moon,Harry Styles,189786,0.603,0.328,0.621,3.49e-05,0.119,-7.14,0.0267,94.022
39,Saved My Life,Sia,235531,0.682,0.213,0.503,0.0,0.0944,-5.934,0.0417,113.988
40,The Greatest (feat. Kendrick Lamar),Sia,210226,0.668,0.0102,0.725,0.000479,0.0561,-6.127,0.266,191.944
41,Bird Set Free,Sia,252440,0.438,0.0115,0.805,0.000667,0.133,-4.284,0.0728,150.174
42,Unstoppable,Sia,217746,0.468,0.112,0.779,0.000373,0.101,-4.839,0.0779,173.799
43,Breathe,James Arthur,199066,0.74,0.672,0.452,0.0,0.118,-8.828,0.0653,115.063
44,Love On The Brain,Rihanna,224000,0.509,0.0717,0.637,1.08e-05,0.0789,-4.83,0.0471,172.006
45,My Oasis (feat. Burna Boy),Sam Smith,179916,0.691,0.569,0.474,0.000626,0.099,-8.742,0.0583,143.783
46,Better,ZAYN,174516,0.637,0.353,0.418,0.0,0.131,-7.137,0.301,84.295
47,Holy (feat. Chance The Rapper),Justin Bieber,212093,0.673,0.196,0.704,0.0,0.0898,-8.056,0.36,86.919
48,Send My Love (To Your New Lover),Adele,223080,0.69,0.0415,0.524,3.16e-06,0.17,-8.39,0.103,164.023
49,Freckles (Live in LA),Lawrence,418780,0.627,0.173,0.608,0.0,0.773,-6.152,0.304,141.013
50,Wonder,Shawn Mendes,172692,0.333,0.131,0.637,1.8e-05,0.149,-4.904,0.0581,139.898
51,Minefields,Faouzia,190605,0.476,0.183,0.686,0.0,0.0997,-5.019,0.11,152.617
52,Wonder - Acoustic,Shawn Mendes,173652,0.476,0.53,0.397,0.0,0.0763,-6.681,0.0317,139.777
53,Avant toi,Vitaa,223800,0.63,0.875,0.396,0.0,0.1,-9.162,0.0334,142.046
54,This City - Acoustic,Sam Fischer,206819,0.625,0.666,0.221,0.0,0.0946,-10.576,0.0438,139.807
55,7PM,Lilacs.,202105,0.782,0.297,0.512,3.24e-05,0.0979,-8.103,0.0324,94.98
56,orange,CLAY,212610,0.561,0.257,0.583,0.0,0.117,-7.091,0.182,86.352
57,Teach Me How To Love,Shawn Mendes,202356,0.592,0.0505,0.885,2.38e-06,0.0843,-4.944,0.0807,98.991
58,Another Year,FINNEAS,256648,0.596,0.97,0.0992,1.02e-05,0.101,-13.262,0.0299,80.181
59,Wasted Energy (feat. Kaash Paige & Diamond Platnumz) - Remix,Alicia Keys,277610,0.688,0.146,0.638,0.000669,0.0805,-5.562,0.0907,79.948
60,Connexion,ZAYN,196493,0.619,0.59,0.375,0.0,0.108,-10.06,0.0886,171.797
61,City That Never Sleeps,Jamie Miller,164724,0.598,0.504,0.596,0.0,0.0829,-4.95,0.114,81.463
62,Feels (feat. Khalid),WATTS,221974,0.548,0.273,0.35,0.0041,0.362,-12.52,0.0579,167.682
63,So Done (feat. Khalid),Alicia Keys,234866,0.587,0.788,0.431,0.0,0.104,-7.522,0.0638,82.427
64,Perfect Way To Die,Alicia Keys,211066,0.442,0.941,0.409,6.89e-05,0.207,-5.592,0.0379,85.218
65,Love Looks Better,Alicia Keys,203320,0.562,0.0211,0.683,0.0,0.176,-6.179,0.0328,97.061
66,Authors Of Forever,Alicia Keys,217560,0.697,0.512,0.63,1.91e-05,0.121,-5.767,0.224,98.081
67,Underdog,Alicia Keys,204400,0.657,0.542,0.726,0.0,0.137,-4.74,0.0458,90.105
68,A Beautiful Noise,Alicia Keys,199089,0.563,0.948,0.328,1.28e-06,0.114,-6.873,0.061,75.85
69,When I'm Older,Ashe,170241,0.39,0.752,0.312,0.0,0.16,-11.715,0.0339,101.706
70,I'm Fine,Ashe,136345,0.521,0.0951,0.486,0.0,0.147,-6.547,0.0273,147.964
71,Bad Dreams - Stripped,Faouzia,171351,0.637,0.731,0.323,0.0,0.114,-9.581,0.0352,110.882
72,The Road,Faouzia,198666,0.538,0.0216,0.698,0.0,0.336,-5.57,0.0349,135.1
73,Wake Me When It's Over,Faouzia,130680,0.688,0.163,0.287,0.0,0.155,-9.732,0.0415,124.996
74,Me Without You,Ashe,189499,0.74,0.658,0.172,0.0,0.133,-8.669,0.0497,122.951
75,Falling Up - Guitar Acoustic,Dean Lewis,196935,0.502,0.821,0.34,0.0,0.256,-7.509,0.133,203.376
76,Love Is Not Enough,Ashe,189250,0.567,0.686,0.344,0.0,0.218,-8.651,0.0291,73.912
77,In My Mind,Alok,175555,0.629,0.0947,0.746,0.0,0.225,-5.482,0.0401,108.025
78,Make It To Me,Sam Smith,162732,0.456,0.63,0.379,3.1e-06,0.0983,-8.573,0.0685,149.967
79,Conversations in the Dark,John Legend,235653,0.361,0.704,0.357,0.0,0.219,-8.423,0.0312,122.962
