,name,artist,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
0,"Happy - From ""Despicable Me 2""",Pharrell Williams,232720,0.647,0.219,0.822,0.0,0.0908,-4.662,0.183,160.019
1,"Wow, I'm Not Crazy",AJR,196762,0.284,0.0438,0.609,0.0,0.177,-6.033,0.123,85.386
2,All My Love,George Ezra,160950,0.449,0.135,0.571,0.0,0.279,-5.206,0.0503,173.73
3,Ride,Naïka,201311,0.738,0.109,0.752,6.41e-06,0.0905,-6.637,0.0573,96.985
4,You're Welcome,Various Artists,163893,0.788,0.29,0.745,0.0,0.0373,-7.072,0.258,135.278
5,Never Seen the Rain,Tones And I,200742,0.672,0.43,0.464,0.0,0.284,-5.624,0.037,92.069
6,"Sugar, Sugar",The Archies,163715,0.78,0.668,0.524,6.47e-05,0.293,-12.072,0.0321,124.181
7,Old Time Rock & Roll,Bob Seger,194146,0.714,0.206,0.937,0.0,0.0731,-2.947,0.0399,124.13
8,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,190453,0.795,0.417,0.616,0.0,0.349,-5.281,0.06,110.015
9,1999,Viceroy,201081,0.709,0.0948,0.707,0.0,0.0704,-1.868,0.269,147.949
10,Grateful,EMAN8,242000,0.773,0.154,0.673,0.0,0.0434,-2.74,0.0893,89.027
11,Dance in the Living Room,NVTHVN,244539,0.758,0.0953,0.684,2.11e-06,0.149,-5.037,0.085,109.953
12,What A Man Gotta Do,Jonas Brothers,180644,0.852,0.00839,0.698,1.03e-06,0.0773,-7.206,0.0629,113.039
13,Ça fait mal,KNLO,252259,0.939,0.268,0.693,3.96e-05,0.254,-6.508,0.207,124.056
14,Good Day,DNCE,218973,0.721,0.0613,0.66,0.0,0.171,-4.972,0.0429,110.006
15,Dance with Me Tonight,Olly Murs,202693,0.666,0.314,0.75,0.0,0.0753,-5.926,0.0598,163.937
16,Never Enough,One Direction,213440,0.579,0.0379,0.779,0.0,0.385,-1.829,0.0512,164.145
17,Keep Your Head Up,Andy Grammer,189933,0.674,0.0469,0.778,0.0,0.145,-5.367,0.0376,90.01
18,Water Me,Lizzo,185594,0.67,0.0292,0.966,0.0,0.185,-1.994,0.177,113.046
19,Checklist (feat. Chromeo),MAX,135180,0.791,0.0709,0.792,0.0,0.196,-4.023,0.0349,123.059
20,Messin' Around,Pitbull,223265,0.576,0.0157,0.807,0.0,0.0338,-4.602,0.0454,158.002
21,Take Me Home,Bryce Vine,230560,0.611,0.0516,0.893,0.0,0.153,-4.285,0.0804,88.533
22,Lush Life,Zara Larsson,201122,0.694,0.132,0.712,0.0,0.211,-3.923,0.046,98.023
23,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,223413,0.893,0.0642,0.745,0.0,0.0943,-3.105,0.0571,101.018
24,It's Not All About You,Lawrence,151320,0.717,0.177,0.795,0.0,0.261,-2.469,0.0825,104.005
25,On Top Of The World,Imagine Dragons,190160,0.629,0.0835,0.923,4.67e-06,0.0911,-5.581,0.147,99.951
26,Sour Patch Kids,Bryce Vine,252546,0.523,0.0144,0.783,1.71e-05,0.219,-5.084,0.0545,76.588
27,"Cruisin' for a Bruisin' - From ""Teen Beach Movie""",Various Artists,195733,0.585,0.0263,0.911,0.0,0.112,-4.623,0.119,163.933
28,Marry You,Bruno Mars,230192,0.621,0.332,0.82,0.0,0.104,-4.865,0.0367,144.905
29,Say Hey (I Love You),Michael Franti & Spearhead,235760,0.738,0.038,0.983,5.93e-06,0.183,-4.374,0.0855,92.998
30,Do You Wanna Do Nothing with Me?,Lawrence,251853,0.549,0.17,0.611,0.00251,0.0762,-9.0,0.131,201.981
31,Walking On Sunshine,Katrina & The Waves,238733,0.596,0.0116,0.869,0.173,0.0678,-11.97,0.037,109.902
32,No Grass Today,AJR,259115,0.701,0.233,0.546,0.0,0.467,-4.823,0.0395,92.025
33,Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,193568,0.522,0.0454,0.833,0.0,0.127,-3.715,0.0575,180.009
34,Beachside,Bazanji,227003,0.711,0.0627,0.69,0.0,0.263,-4.948,0.0579,77.179
35,Sunflower Seeds,Bryce Vine,228610,0.723,0.194,0.593,5.35e-05,0.217,-5.816,0.0308,92.985
36,3 Nights,Dominic Fike,177666,0.815,0.223,0.518,0.0,0.104,-6.594,0.0897,151.891
37,Magic In The Hamptons (feat. Lil Yachty),Social House,164640,0.769,0.66,0.479,0.0,0.0914,-5.339,0.0385,96.051
38,Wedding Crashers,Aminé,229800,0.853,0.026,0.496,0.0,0.0421,-7.984,0.243,135.99
39,Truth Hurts,Lizzo,173325,0.715,0.11,0.624,0.0,0.123,-3.046,0.114,158.087
40,Good as Hell,Lizzo,159735,0.682,0.256,0.919,0.0,0.442,-3.18,0.0875,95.982
41,Wash Away,Lawrence,200000,0.659,0.053,0.77,8.26e-06,0.143,-8.184,0.0316,129.946
42,Me & You,Lawrence,204504,0.32,0.502,0.758,5.28e-05,0.397,-5.375,0.172,194.298
43,Lately,Forrest.,207000,0.718,0.213,0.632,1.28e-05,0.283,-4.011,0.145,160.039
44,Why Not Me,Forrest.,195000,0.905,0.48,0.721,0.0,0.528,-6.922,0.31,145.958
45,Your Soul,Forrest.,178285,0.846,0.0244,0.851,0.0,0.153,-3.821,0.372,139.966
